Start of new run - 12/14/11 16:57:14
width, voltage, fitness
66, 2, 1
66, 3, 1
66, 4, 1
66, 5, 1
66, 6, 1
66, 7, 1
66, 8, 1
66, 9, 1
66, 10, 1
66, 11, 1
66, 12, 1
66, 13, 1
66, 14, 1
66, 15, 1
66, 16, 1
66, 17, 1
66, 18, 1
66, 19, 1
70, 0, 1
70, 1, 1
70, 2, 1
70, 3, 1
70, 4, 1
70, 5, 1
70, 6, 1
70, 7, 1
70, 8, 1
70, 9, 1
70, 10, 1
70, 11, 1
70, 12, 1
70, 13, 1
70, 14, 1
70, 15, 1
70, 16, 1
70, 17, 1
70, 18, 1
70, 19, 1
74, 0, 1
74, 1, 1
74, 2, 1
74, 3, 1
74, 4, 1
74, 5, 1
74, 6, 1
74, 7, 1
74, 8, 1
74, 9, 1
74, 10, 1
74, 11, 1
74, 12, 1
74, 13, 1
74, 14, 1
74, 15, 1
74, 16, 1
74, 17, 1
74, 18, 1
74, 19, 1
78, 0, 1
78, 1, 1
78, 2, 1
78, 3, 1
78, 4, 1
78, 5, 1
78, 6, 1
78, 7, 1
78, 8, 1
78, 9, 1
78, 10, 1
78, 11, 1
78, 12, 1
78, 13, 1
78, 14, 1
78, 15, 1
78, 16, 1
78, 17, 1
78, 18, 1
78, 19, 1
82, 0, 1
82, 1, 1
82, 2, 1
82, 3, 1
82, 4, 1
82, 5, 1
82, 6, 1
82, 7, 1
82, 8, 1
82, 9, 1
82, 10, 1
82, 11, 1
82, 12, 1
82, 13, 1
82, 14, 1
82, 15, 1
82, 16, 1
82, 17, 1
82, 18, 1
82, 19, 1
86, 0, 1
86, 1, 1
86, 2, 1
86, 3, 1
86, 4, 1
86, 5, 1
86, 6, 1
86, 7, 1
86, 8, 1
86, 9, 1
86, 10, 1
86, 11, 1
86, 12, 1
86, 13, 1
86, 14, 1
86, 15, 1
86, 16, 1
86, 17, 1
86, 18, 1
86, 19, 1
90, 0, 1
90, 1, 1
90, 2, 1
90, 3, 1
90, 4, 1
90, 5, 1
90, 6, 1
90, 7, 1
90, 8, 1
90, 9, 1
90, 10, 1
90, 11, 1
90, 12, 1
90, 13, 1
90, 14, 1
90, 15, 1
90, 16, 1
90, 17, 1
90, 18, 1
90, 19, 1
94, 0, 1
94, 1, 1
94, 2, 1
94, 3, 1
94, 4, 1
94, 5, 1
94, 6, 1
94, 7, 1
94, 8, 1
94, 9, 1
94, 10, 1
94, 11, 1
94, 12, 1
94, 13, 1
94, 14, 1
94, 15, 1
94, 16, 1
94, 17, 1
94, 18, 1
94, 19, 1
98, 0, 1
98, 1, 1
98, 2, 1
98, 3, 1
98, 4, 1
98, 5, 1
98, 6, 1
98, 7, 1
98, 8, 1
98, 9, 1
98, 10, 1
98, 11, 1
98, 12, 1
98, 13, 1
98, 14, 1
98, 15, 1
98, 16, 1
98, 17, 1
98, 18, 1
98, 19, 1
102, 0, 1
102, 1, 1
102, 2, 1
102, 3, 1
102, 4, 1
102, 5, 1
102, 6, 1
102, 7, 1
102, 8, 1
102, 9, 1
102, 10, 1
102, 11, 1
102, 12, 1
102, 13, 1
102, 14, 1
102, 15, 1
102, 16, 1
102, 17, 1
102, 18, 1
102, 19, 1
106, 0, 1
106, 1, 1
106, 2, 1
106, 3, 1
106, 4, 1
106, 5, 1
106, 6, 1
106, 7, 1
106, 8, 1
106, 9, 1
106, 10, 1
106, 11, 1
106, 12, 1
106, 13, 1
106, 14, 1
106, 15, 1
106, 16, 1
106, 17, 1
106, 18, 1
106, 19, 1
110, 0, 1
110, 1, 1
110, 2, 1
110, 3, 1
110, 4, 1
110, 5, 1
110, 6, 1
110, 7, 1
110, 8, 1
110, 9, 1
110, 10, 1
110, 11, 1
110, 12, 1
110, 13, 1
110, 14, 1
110, 15, 1
110, 16, 1
110, 17, 1
110, 18, 1
110, 19, 1
114, 0, 1
114, 1, 1
114, 2, 1
114, 3, 1
114, 4, 1
114, 5, 1
114, 6, 1
114, 7, 1
114, 8, 1
114, 9, 1
114, 10, 1
114, 11, 1
114, 12, 1
114, 13, 1
114, 14, 1
114, 15, 1
114, 16, 1
114, 17, 1
114, 18, 1
114, 19, 1
118, 0, 1
118, 1, 1
118, 2, 1
118, 3, 1
118, 4, 1
118, 5, 1
118, 6, 1
118, 7, 1
118, 8, 1
118, 9, 1
118, 10, 1
118, 11, 1
118, 12, 1
118, 13, 1
118, 14, 1
118, 15, 1
118, 16, 1
118, 17, 1
118, 18, 1
118, 19, 1
122, 0, 1
122, 1, 1
122, 2, 1
122, 3, 1
122, 4, 1
122, 5, 1
122, 6, 1
122, 7, 1
122, 8, 1
122, 9, 1
122, 10, 1
122, 11, 1
122, 12, 1
122, 13, 1
122, 14, 1
122, 15, 1
122, 16, 1
122, 17, 1
122, 18, 1
122, 19, 1
126, 0, 1
126, 1, 1
126, 2, 1
126, 3, 1
126, 4, 1
126, 5, 1
126, 6, 1
126, 7, 1
126, 8, 1
126, 9, 1
126, 10, 1
126, 11, 1
126, 12, 1
126, 13, 1
126, 14, 1
126, 15, 1
126, 16, 1
126, 17, 1
126, 18, 1
126, 19, 1
130, 0, 1
130, 1, 1
130, 2, 1
130, 3, 1
130, 4, 1
130, 5, 1
130, 6, 1
130, 7, 1
130, 8, 1
130, 9, 1
130, 10, 1
130, 11, 1
130, 12, 1
130, 13, 1
130, 14, 1
130, 15, 1
130, 16, 1
130, 17, 1
130, 18, 1
130, 19, 1
134, 0, 1
134, 1, 1
134, 2, 1
134, 3, 1
134, 4, 1
134, 5, 1
134, 6, 1
134, 7, 1
134, 8, 1
134, 9, 1
134, 10, 1
134, 11, 1
134, 12, 1
134, 13, 1
134, 14, 1
134, 15, 1
134, 16, 1
134, 17, 1
134, 18, 1
134, 19, 1
138, 0, 1
138, 1, 1
138, 2, 1
138, 3, 1
138, 4, 1
138, 5, 1
138, 6, 1
138, 7, 1
138, 8, 1
138, 9, 1
138, 10, 1
138, 11, 1
138, 12, 1
138, 13, 1
138, 14, 1
138, 15, 1
138, 16, 1
138, 17, 1
138, 18, 1
138, 19, 1
142, 0, 1
142, 1, 1
142, 2, 1
142, 3, 1
142, 4, 1
142, 5, 1
142, 6, 1
142, 7, 1
142, 8, 1
142, 9, 1
142, 10, 1
142, 11, 1
142, 12, 1
142, 13, 1
142, 14, 1
142, 15, 1
142, 16, 1
142, 17, 1
142, 18, 1
142, 19, 1
146, 0, 1
146, 1, 1
146, 2, 1
146, 3, 1
146, 4, 1
146, 5, 1
146, 6, 1
146, 7, 1
146, 8, 1
146, 9, 1
146, 10, 1
146, 11, 1
146, 12, 1
146, 13, 1
146, 14, 1
146, 15, 1
146, 16, 1
146, 17, 1
146, 18, 1
146, 19, 1
